Case ID,Activity,Complete Timestamp,Resource,customer,gravita,product,servicelevel,workload
1,a1,2017-02-22 08:33:31,ZULINO,customer_0,2.0,product_0,servicelevel_0,39.0
1,a2,2017-02-22 09:06:49,ZULINA,customer_0,2.0,product_0,servicelevel_0,7.0
1,a3,2017-02-22 09:43:20,ZULINA,customer_0,2.0,product_0,servicelevel_0,6.0
2,a1,2016-11-28 10:07:56,ZOSIMO,customer_1,2.0,product_0,servicelevel_1,40.0
2,a2,2016-11-28 11:57:49,ZOSIMO,customer_1,2.0,product_0,servicelevel_1,40.0
2,a3,2016-11-28 16:33:00,ZOSIMO,customer_1,2.0,product_0,servicelevel_1,38.0
3,a1,2016-09-05 16:29:32,ZOSIMO,customer_2,2.0,product_1,servicelevel_1,38.0
3,a2,2016-09-06 09:29:00,ZOSIMA,customer_2,2.0,product_1,servicelevel_1,10.0
3,a4,2016-09-06 09:30:20,ZOSIMA,customer_2,2.0,product_1,servicelevel_1,10.0
3,a3,2016-09-08 15:11:07,ZOSIMA,customer_2,2.0,product_1,servicelevel_1,4.0
4,a1,2016-09-06 16:25:35,ZORAIDO,customer_3,2.0,product_0,servicelevel_0,26.0
4,a2,2016-09-07 08:05:15,ZORAIDE,customer_3,2.0,product_0,servicelevel_0,7.0
4,a3,2016-09-07 10:22:08,ZORAIDE,customer_3,2.0,product_0,servicelevel_0,7.0
5,a1,2016-12-12 13:27:04,ZOSIMO,customer_4,2.0,product_0,servicelevel_0,62.0
5,a2,2016-12-12 14:02:27,ZOPITO,customer_4,2.0,product_0,servicelevel_0,10.0
5,a4,2016-12-13 08:44:07,ZOPITO,customer_4,2.0,product_0,servicelevel_0,9.0
5,a3,2016-12-14 09:21:37,ZOPITO,customer_4,2.0,product_0,servicelevel_0,6.0
6,a1,2016-12-23 10:31:59,ZORAIDO,customer_5,3.0,product_0,servicelevel_1,44.0
6,a2,2016-12-23 10:35:01,ZORAIDO,customer_5,3.0,product_0,servicelevel_1,44.0
6,a3,2016-12-23 10:36:46,ZORAIDO,customer_5,3.0,product_0,servicelevel_1,43.0
7,a1,2016-12-20 10:03:00,ZORAIDO,customer_6,2.0,product_2,servicelevel_1,33.0
7,a2,2016-12-20 10:39:33,ZOPITA,customer_6,2.0,product_2,servicelevel_1,11.0
7,a3,2016-12-20 14:16:37,ZOPITA,customer_6,2.0,product_2,servicelevel_1,12.0
8,a1,2016-10-17 13:05:34,ZOSIMO,customer_7,2.0,product_3,servicelevel_1,43.0
8,a2,2016-10-17 13:12:36,ZOSIMA,customer_7,2.0,product_3,servicelevel_1,2.0
8,a3,2016-10-17 13:13:40,ZOSIMA,customer_7,2.0,product_3,servicelevel_1,1.0
9,a1,2016-07-22 14:21:34,ZOLIA,customer_8,2.0,product_4,servicelevel_1,77.0
9,a2,2016-07-26 11:30:35,ZOLFERINO,customer_8,2.0,product_4,servicelevel_1,11.0
9,a3,2016-07-26 13:43:45,ZOLFERINO,customer_8,2.0,product_4,servicelevel_1,10.0
10,a1,2016-12-23 11:52:45,ZOLA,customer_9,2.0,product_0,servicelevel_1,21.0
10,a2,2016-12-23 11:53:41,ZOLA,customer_9,2.0,product_0,servicelevel_1,21.0
10,a3,2016-12-23 13:28:40,ZOLA,customer_9,2.0,product_0,servicelevel_1,20.0
11,a1,2016-07-21 11:07:13,ZOLIA,customer_10,3.0,product_5,servicelevel_1,67.0
11,a2,2016-07-22 09:40:23,ZOILO,customer_10,3.0,product_5,servicelevel_1,10.0
11,a2,2016-07-22 09:40:33,ZOILO,customer_10,3.0,product_5,servicelevel_1,10.0
11,a3,2016-07-26 16:26:26,ZOILO,customer_10,3.0,product_5,servicelevel_1,5.0
12,a1,2016-11-09 13:10:00,ZOSIMO,customer_11,3.0,product_0,servicelevel_1,50.0
12,a2,2016-11-09 13:36:08,ZOSIMO,customer_11,3.0,product_0,servicelevel_1,54.0
12,a4,2016-11-09 14:43:19,ZOSIMO,customer_11,3.0,product_0,servicelevel_1,50.0
12,a3,2016-11-18 11:51:00,ZOSIMO,customer_11,3.0,product_0,servicelevel_1,24.0
13,a1,2016-10-19 16:39:42,ZOSIMO,customer_12,2.0,product_6,servicelevel_1,45.0
13,a2,2016-10-19 17:11:55,ZOSIMA,customer_12,2.0,product_6,servicelevel_1,9.0
13,a3,2016-10-25 13:40:45,ZOSIMA,customer_12,2.0,product_6,servicelevel_1,3.0
14,a1,2017-02-03 09:31:49,ZULINO,customer_13,2.0,product_7,servicelevel_2,87.0
14,a2,2017-02-06 10:31:26,ZOSIMO,customer_13,2.0,product_7,servicelevel_2,44.0
14,a3,2017-02-06 11:29:16,ZOSIMO,customer_13,2.0,product_7,servicelevel_2,45.0
15,a1,2016-07-11 09:15:37,ZOLIA,customer_14,3.0,product_0,servicelevel_2,40.0
15,a2,2016-07-11 09:31:42,ZOPITA,customer_14,3.0,product_0,servicelevel_2,8.0
15,a3,2016-07-11 16:10:40,ZOPITA,customer_14,3.0,product_0,servicelevel_2,5.0
16,a1,2016-10-25 09:39:03,ZORAIDO,customer_15,2.0,product_0,servicelevel_1,22.0
16,a5,2016-10-25 09:58:43,ZORAIDE,customer_15,2.0,product_0,servicelevel_1,3.0
16,a1,2016-10-25 10:43:49,ZOSIMO,customer_15,2.0,product_0,servicelevel_1,34.0
16,a2,2016-10-25 14:11:09,ZOSIMO,customer_15,2.0,product_0,servicelevel_1,29.0
16,a3,2016-10-25 15:45:48,ZOSIMO,customer_15,2.0,product_0,servicelevel_1,27.0
17,a1,2017-01-05 11:58:16,ZOSIMO,customer_16,3.0,product_0,servicelevel_2,51.0
17,a2,2017-01-05 11:58:38,ZOSIMO,customer_16,3.0,product_0,servicelevel_2,51.0
17,a3,2017-01-05 12:02:30,ZOSIMO,customer_16,3.0,product_0,servicelevel_2,50.0
18,a1,2017-01-03 16:38:37,ZOSIMO,customer_17,2.0,product_0,servicelevel_1,49.0
18,a2,2017-01-04 07:58:40,ZOPITA,customer_17,2.0,product_0,servicelevel_1,9.0
18,a3,2017-01-04 10:52:46,ZOPITA,customer_17,2.0,product_0,servicelevel_1,9.0
19,a1,2016-07-19 10:31:04,ZOLIA,customer_18,2.0,product_8,servicelevel_2,58.0
19,a2,2016-07-19 11:40:45,ZOPITA,customer_18,2.0,product_8,servicelevel_2,10.0
19,a3,2016-07-20 17:01:20,ZOPITA,customer_18,2.0,product_8,servicelevel_2,10.0
20,a1,2017-01-19 14:00:26,ZULINO,customer_19,2.0,product_0,servicelevel_1,85.0
20,a2,2017-01-19 15:32:05,ZOSIMO,customer_19,2.0,product_0,servicelevel_1,39.0
20,a3,2017-01-19 15:34:19,ZOSIMO,customer_19,2.0,product_0,servicelevel_1,38.0
21,a1,2016-12-19 16:47:37,ZOSIMO,customer_20,2.0,product_4,servicelevel_1,55.0
21,a2,2016-12-20 08:05:31,ZOILA,customer_20,2.0,product_4,servicelevel_1,4.0
21,a3,2016-12-21 10:56:31,ZOILA,customer_20,2.0,product_4,servicelevel_1,6.0
22,a1,2016-09-27 14:48:42,ZOLA,customer_21,2.0,product_0,servicelevel_2,18.0
22,a2,2016-09-27 16:42:32,ZOILA,customer_21,2.0,product_0,servicelevel_2,6.0
22,a4,2016-09-28 13:44:50,ZOILA,customer_21,2.0,product_0,servicelevel_2,6.0
22,a3,2016-10-04 13:16:37,ZOILA,customer_21,2.0,product_0,servicelevel_2,4.0
23,a1,2016-10-17 08:29:51,ZOSIMO,customer_22,2.0,product_0,servicelevel_1,28.0
23,a2,2016-10-17 09:32:12,ZORAIDO,customer_22,2.0,product_0,servicelevel_1,12.0
23,a3,2016-10-19 08:09:29,ZORAIDO,customer_22,2.0,product_0,servicelevel_1,27.0
24,a1,2016-08-17 09:47:32,ZORAIDO,customer_23,2.0,product_0,servicelevel_1,34.0
24,a2,2016-08-17 11:15:18,ZORAIDE,customer_23,2.0,product_0,servicelevel_1,12.0
24,a3,2016-08-17 11:24:16,ZORAIDE,customer_23,2.0,product_0,servicelevel_1,12.0
25,a1,2017-02-01 11:59:23,ZULINO,customer_24,2.0,product_0,servicelevel_1,75.0
25,a2,2017-02-01 12:01:10,ZOSIMO,customer_24,2.0,product_0,servicelevel_1,41.0
25,a3,2017-02-01 16:49:42,ZOSIMO,customer_24,2.0,product_0,servicelevel_1,44.0
26,a1,2016-11-15 08:44:45,ZORAIDO,customer_25,3.0,product_5,servicelevel_1,26.0
26,a2,2016-11-15 09:16:46,ZOSIMA,customer_25,3.0,product_5,servicelevel_1,9.0
26,a4,2016-11-15 10:48:27,ZOSIMA,customer_25,3.0,product_5,servicelevel_1,11.0
26,a3,2016-11-16 16:38:32,ZOSIMA,customer_25,3.0,product_5,servicelevel_1,8.0
27,a1,2017-02-13 10:08:09,ZULINO,customer_26,2.0,product_0,servicelevel_1,56.0
27,a2,2017-02-13 10:10:32,ZORAIDO,customer_26,2.0,product_0,servicelevel_1,10.0
27,a3,2017-02-13 16:49:43,ZORAIDO,customer_26,2.0,product_0,servicelevel_1,6.0
28,a1,2016-11-11 10:43:46,ZOSIMO,customer_22,2.0,product_0,servicelevel_1,45.0
28,a2,2016-11-11 10:51:31,ZOSIMO,customer_22,2.0,product_0,servicelevel_1,47.0
28,a3,2016-11-11 10:55:19,ZOSIMO,customer_22,2.0,product_0,servicelevel_1,45.0
29,a1,2016-07-08 09:16:38,ZOLIA,customer_27,3.0,product_0,servicelevel_1,41.0
29,a2,2016-07-08 09:17:08,ZOSIMO,customer_27,3.0,product_0,servicelevel_1,14.0
29,a3,2016-07-08 09:29:03,ZOSIMO,customer_27,3.0,product_0,servicelevel_1,13.0
30,a1,2016-11-07 16:22:34,ZOLA,customer_28,2.0,product_4,servicelevel_1,53.0
30,a2,2016-11-08 09:22:25,ZOLA,customer_28,2.0,product_4,servicelevel_1,44.0
30,a3,2016-11-09 09:56:35,ZOLA,customer_28,2.0,product_4,servicelevel_1,33.0
31,a1,2016-09-06 16:45:47,ZORAIDO,customer_29,3.0,product_1,servicelevel_1,27.0
31,a2,2016-09-06 16:47:08,ZOSIMA,customer_29,3.0,product_1,servicelevel_1,9.0
31,a3,2016-09-06 16:55:01,ZOSIMA,customer_29,3.0,product_1,servicelevel_1,10.0
32,a1,2017-02-03 13:47:23,ZULINO,customer_30,2.0,product_0,servicelevel_1,86.0
32,a2,2017-02-06 08:21:17,ZORAIDO,customer_30,2.0,product_0,servicelevel_1,16.0
32,a4,2017-02-06 11:46:06,ZORAIDO,customer_30,2.0,product_0,servicelevel_1,16.0
32,a3,2017-02-13 09:36:59,ZORAIDO,customer_30,2.0,product_0,servicelevel_1,8.0
33,a1,2016-09-28 08:51:22,ZOSIMO,customer_31,2.0,product_0,servicelevel_1,49.0
33,a2,2016-09-28 08:51:42,ZOSIMO,customer_31,2.0,product_0,servicelevel_1,49.0
33,a4,2016-09-28 15:21:59,ZOSIMO,customer_31,2.0,product_0,servicelevel_1,45.0
33,a3,2016-09-29 11:38:03,ZOSIMO,customer_31,2.0,product_0,servicelevel_1,48.0
34,a1,2017-01-18 16:52:58,ZULINO,customer_32,2.0,product_0,servicelevel_1,75.0
34,a2,2017-01-19 08:10:21,ZORAIDO,customer_32,2.0,product_0,servicelevel_1,23.0
34,a3,2017-01-19 14:27:41,ZORAIDO,customer_32,2.0,product_0,servicelevel_1,21.0
35,a1,2016-09-22 17:27:50,ZORAIDO,customer_33,3.0,product_0,servicelevel_1,33.0
35,a2,2016-09-23 13:10:36,ZORAIDO,customer_33,3.0,product_0,servicelevel_1,32.0
35,a3,2016-09-23 13:37:46,ZORAIDO,customer_33,3.0,product_0,servicelevel_1,30.0
36,a1,2016-11-09 13:20:10,ZOSIMO,customer_34,3.0,product_0,servicelevel_2,53.0
36,a2,2016-11-09 14:21:57,ZOPITA,customer_34,3.0,product_0,servicelevel_2,13.0
36,a3,2016-11-10 14:59:20,ZOPITA,customer_34,3.0,product_0,servicelevel_2,12.0
37,a1,2016-07-15 11:51:19,ZOLIA,customer_35,2.0,product_0,servicelevel_1,52.0
37,a2,2016-07-18 11:56:56,ZOPITO,customer_35,2.0,product_0,servicelevel_1,10.0
37,a2,2016-07-19 08:42:09,ZOSIMO,customer_35,2.0,product_0,servicelevel_1,18.0
37,a3,2016-07-19 11:07:14,ZOSIMO,customer_35,2.0,product_0,servicelevel_1,17.0
38,a1,2016-11-08 13:41:14,ZORAIDO,customer_36,2.0,product_0,servicelevel_2,22.0
38,a2,2016-11-08 14:54:41,ZOPITA,customer_36,2.0,product_0,servicelevel_2,12.0
38,a3,2016-11-09 10:46:18,ZOPITA,customer_36,2.0,product_0,servicelevel_2,14.0
39,a1,2017-01-16 09:14:12,ZULINO,customer_37,2.0,product_5,servicelevel_1,54.0
39,a2,2017-01-16 09:21:51,ZOIA,customer_37,2.0,product_5,servicelevel_1,6.0
39,a3,2017-01-16 15:00:24,ZOIA,customer_37,2.0,product_5,servicelevel_1,3.0
40,a1,2016-07-25 15:52:36,ZOLIA,customer_38,2.0,product_5,servicelevel_1,84.0
40,a2,2016-07-26 08:53:59,ZOSIMA,customer_38,2.0,product_5,servicelevel_1,3.0
40,a3,2016-07-26 09:36:04,ZOSIMA,customer_38,2.0,product_5,servicelevel_1,3.0
41,a1,2016-07-05 16:55:17,ZOLIA,customer_39,2.0,product_1,servicelevel_1,39.0
41,a2,2016-07-06 08:37:31,ZOSIMA,customer_39,2.0,product_1,servicelevel_1,5.0
41,a3,2016-07-06 09:12:11,ZOSIMA,customer_39,2.0,product_1,servicelevel_1,4.0
42,a1,2016-11-07 09:02:34,ZOLA,customer_40,2.0,product_2,servicelevel_1,23.0
42,a2,2016-11-07 09:16:50,ZORAIDO,customer_40,2.0,product_2,servicelevel_1,17.0
42,a3,2016-11-10 16:54:51,ZORAIDO,customer_40,2.0,product_2,servicelevel_1,25.0
43,a1,2016-12-01 14:02:39,ZORAIDO,customer_41,3.0,product_1,servicelevel_1,38.0
43,a2,2016-12-01 14:35:53,ZOSIMA,customer_41,3.0,product_1,servicelevel_1,11.0
43,a3,2016-12-01 14:48:01,ZOSIMA,customer_41,3.0,product_1,servicelevel_1,10.0
44,a1,2017-02-08 13:23:54,ZULINO,customer_42,3.0,product_1,servicelevel_1,80.0
44,a2,2017-02-08 14:58:38,ZOSIMA,customer_42,3.0,product_1,servicelevel_1,9.0
44,a3,2017-02-08 15:07:48,ZOSIMA,customer_42,3.0,product_1,servicelevel_1,9.0
45,a1,2017-01-30 16:19:08,ZULINO,customer_43,2.0,product_0,servicelevel_1,74.0
45,a2,2017-01-30 16:19:28,ZOLFERINO,customer_43,2.0,product_0,servicelevel_1,15.0
45,a3,2017-01-31 15:23:25,ZOLFERINO,customer_43,2.0,product_0,servicelevel_1,12.0
46,a1,2017-02-08 14:18:39,ZULINO,customer_44,3.0,product_0,servicelevel_1,70.0
46,a2,2017-02-09 14:28:56,ZOILA,customer_44,3.0,product_0,servicelevel_1,8.0
46,a3,2017-02-10 07:59:15,ZOILA,customer_44,3.0,product_0,servicelevel_1,6.0
47,a1,2016-09-22 13:14:23,ZOSIMO,customer_45,2.0,product_0,servicelevel_2,38.0
47,a2,2016-09-22 13:14:50,ZOSIMO,customer_45,2.0,product_0,servicelevel_2,38.0
47,a3,2016-09-22 13:15:04,ZOSIMO,customer_45,2.0,product_0,servicelevel_2,37.0
48,a1,2016-10-04 16:04:40,ZOSIMO,customer_46,2.0,product_9,servicelevel_1,41.0
48,a2,2016-10-04 16:55:51,ZOSIMA,customer_46,2.0,product_9,servicelevel_1,9.0
48,a4,2016-10-04 17:04:10,ZOSIMA,customer_46,2.0,product_9,servicelevel_1,9.0
48,a3,2016-10-05 09:19:37,ZOSIMA,customer_46,2.0,product_9,servicelevel_1,10.0
49,a1,2017-01-12 09:55:37,ZULINO,customer_47,3.0,product_0,servicelevel_1,43.0
49,a2,2017-01-12 09:56:04,ZORAIDO,customer_47,3.0,product_0,servicelevel_1,20.0
49,a3,2017-01-12 16:50:31,ZORAIDO,customer_47,3.0,product_0,servicelevel_1,22.0
50,a1,2016-10-20 10:36:51,ZOSIMO,customer_14,2.0,product_0,servicelevel_2,42.0
50,a2,2016-10-20 10:37:40,ZOSIMO,customer_14,2.0,product_0,servicelevel_2,42.0
50,a3,2016-10-21 11:39:37,ZOSIMO,customer_14,2.0,product_0,servicelevel_2,37.0
51,a1,2017-01-30 11:51:07,ZULINO,customer_48,3.0,product_0,servicelevel_1,88.0
51,a2,2017-01-30 11:53:41,ZOPITA,customer_48,3.0,product_0,servicelevel_1,10.0
51,a4,2017-01-30 16:50:54,ZOPITA,customer_48,3.0,product_0,servicelevel_1,10.0
51,a3,2017-01-31 07:52:38,ZOPITA,customer_48,3.0,product_0,servicelevel_1,9.0
52,a1,2016-12-15 11:48:37,ZORAIDO,customer_49,2.0,product_0,servicelevel_0,38.0
52,a2,2016-12-15 14:56:34,ZOILA,customer_49,2.0,product_0,servicelevel_0,4.0
52,a4,2016-12-15 15:30:15,ZOILA,customer_49,2.0,product_0,servicelevel_0,4.0
52,a3,2016-12-23 10:30:24,ZOILA,customer_49,2.0,product_0,servicelevel_0,4.0
53,a1,2017-02-02 14:02:54,ZULINO,customer_50,2.0,product_0,servicelevel_1,80.0
53,a2,2017-02-02 15:22:46,ZOSIMO,customer_50,2.0,product_0,servicelevel_1,37.0
53,a3,2017-02-03 13:17:39,ZOSIMO,customer_50,2.0,product_0,servicelevel_1,45.0
54,a1,2017-01-16 11:11:31,ZULINO,customer_51,2.0,product_0,servicelevel_1,58.0
54,a2,2017-01-16 14:22:28,ZOPITO,customer_51,2.0,product_0,servicelevel_1,16.0
54,a6,2017-01-18 16:40:13,ZOPITO,customer_51,2.0,product_0,servicelevel_1,16.0
54,a3,2017-01-30 09:29:55,ZOPITO,customer_51,2.0,product_0,servicelevel_1,13.0
55,a1,2016-12-06 17:22:52,ZOLA,customer_41,2.0,product_1,servicelevel_1,24.0
55,a2,2016-12-06 17:54:33,ZOIA,customer_41,2.0,product_1,servicelevel_1,2.0
55,a4,2016-12-07 17:35:37,ZOIA,customer_41,2.0,product_1,servicelevel_1,2.0
55,a2,2017-02-03 13:03:14,ZOIA,customer_41,2.0,product_1,servicelevel_1,5.0
55,a3,2017-02-03 13:05:00,ZOIA,customer_41,2.0,product_1,servicelevel_1,4.0
56,a1,2017-02-21 12:58:59,ZULINO,customer_52,3.0,product_0,servicelevel_1,48.0
56,a2,2017-02-21 13:03:53,ZORAIDE,customer_52,3.0,product_0,servicelevel_1,5.0
56,a3,2017-02-21 13:19:02,ZORAIDE,customer_52,3.0,product_0,servicelevel_1,4.0
57,a1,2016-08-02 13:17:07,ZOLIA,customer_53,3.0,product_0,servicelevel_2,66.0
57,a2,2016-08-02 13:25:07,ZORAIDE,customer_53,3.0,product_0,servicelevel_2,6.0
57,a3,2016-08-02 15:26:29,ZORAIDE,customer_53,3.0,product_0,servicelevel_2,5.0
58,a1,2017-01-24 09:51:27,ZULINO,customer_54,2.0,product_0,servicelevel_1,77.0
58,a2,2017-01-24 10:23:39,ZOSIMO,customer_54,2.0,product_0,servicelevel_1,37.0
58,a3,2017-01-24 13:33:54,ZOSIMO,customer_54,2.0,product_0,servicelevel_1,38.0
59,a1,2017-01-10 10:11:14,ZULINO,customer_55,3.0,product_1,servicelevel_1,12.0
59,a2,2017-01-10 12:05:59,ZOSIMA,customer_55,3.0,product_1,servicelevel_1,14.0
59,a3,2017-01-10 13:33:13,ZOSIMA,customer_55,3.0,product_1,servicelevel_1,13.0
60,a1,2016-08-31 09:41:24,ZOSIMO,customer_56,3.0,product_0,servicelevel_0,29.0
60,a2,2016-08-31 11:24:55,ZOLFERINO,customer_56,3.0,product_0,servicelevel_0,9.0
60,a3,2016-08-31 11:42:09,ZORAIDE,customer_56,3.0,product_0,servicelevel_0,9.0
61,a1,2016-11-11 09:42:40,ZOSIMO,customer_57,3.0,product_0,servicelevel_1,38.0
61,a2,2016-11-11 14:03:51,ZORAIDO,customer_57,3.0,product_0,servicelevel_1,24.0
61,a4,2016-11-11 14:45:17,ZORAIDO,customer_57,3.0,product_0,servicelevel_1,24.0
61,a3,2016-11-16 11:00:08,ZORAIDO,customer_57,3.0,product_0,servicelevel_1,41.0
62,a1,2016-07-13 10:04:55,ZOLIA,customer_34,2.0,product_0,servicelevel_2,53.0
62,a2,2016-07-13 10:05:55,ZOSIMO,customer_34,2.0,product_0,servicelevel_2,16.0
62,a3,2016-07-13 11:17:06,ZOSIMO,customer_34,2.0,product_0,servicelevel_2,16.0
63,a1,2016-09-19 13:49:38,ZOSIMO,customer_58,2.0,product_0,servicelevel_1,27.0
63,a2,2016-09-19 15:32:59,ZOLFERINO,customer_58,2.0,product_0,servicelevel_1,9.0
63,a3,2016-09-20 09:20:31,ZOLFERINO,customer_58,2.0,product_0,servicelevel_1,3.0
64,a1,2016-10-18 10:25:38,ZOLA,customer_59,2.0,product_0,servicelevel_2,14.0
64,a2,2016-10-18 10:26:19,ZOSIMO,customer_59,2.0,product_0,servicelevel_2,35.0
64,a4,2016-10-18 10:29:59,ZOSIMO,customer_59,2.0,product_0,servicelevel_2,35.0
64,a3,2016-10-18 11:59:46,ZOSIMO,customer_59,2.0,product_0,servicelevel_2,34.0
65,a1,2016-12-22 09:46:03,ZORAIDO,customer_52,1.0,product_0,servicelevel_1,44.0
65,a2,2016-12-22 09:54:01,ZOPITO,customer_52,1.0,product_0,servicelevel_1,13.0
65,a4,2016-12-22 10:30:42,ZOPITO,customer_52,1.0,product_0,servicelevel_1,13.0
65,a3,2016-12-22 10:49:50,ZOPITO,customer_52,1.0,product_0,servicelevel_1,11.0
66,a1,2016-09-05 10:02:01,ZOSIMO,customer_12,2.0,product_1,servicelevel_1,34.0
66,a2,2016-09-05 13:16:07,ZOSIMA,customer_12,2.0,product_1,servicelevel_1,10.0
66,a3,2016-09-05 13:25:10,ZOSIMA,customer_12,2.0,product_1,servicelevel_1,9.0
67,a1,2016-09-05 12:31:10,ZOSIMO,customer_60,2.0,product_1,servicelevel_1,39.0
67,a2,2016-09-09 11:09:10,ZOSIMA,customer_60,2.0,product_1,servicelevel_1,4.0
67,a4,2016-09-09 17:06:15,ZOILO,customer_60,2.0,product_1,servicelevel_1,2.0
67,a3,2016-09-22 09:47:28,ZOILO,customer_60,2.0,product_1,servicelevel_1,3.0
68,a1,2016-12-27 11:28:03,ZORAIDO,customer_27,2.0,product_0,servicelevel_1,39.0
68,a2,2016-12-27 16:55:52,ZORAIDO,customer_27,2.0,product_0,servicelevel_1,50.0
68,a4,2016-12-28 08:31:43,ZORAIDO,customer_27,2.0,product_0,servicelevel_1,49.0
68,a3,2017-01-09 10:53:16,ZORAIDO,customer_27,2.0,product_0,servicelevel_1,22.0
69,a1,2016-12-13 13:52:58,ZORAIDO,customer_61,2.0,product_0,servicelevel_1,42.0
69,a2,2016-12-13 16:23:26,ZOSIMO,customer_61,2.0,product_0,servicelevel_1,52.0
69,a3,2016-12-15 15:59:08,ZOSIMO,customer_61,2.0,product_0,servicelevel_1,42.0
70,a1,2016-10-03 08:44:19,ZOSIMO,customer_46,2.0,product_0,servicelevel_1,41.0
70,a2,2016-10-03 09:35:55,ZORAIDO,customer_46,2.0,product_0,servicelevel_1,16.0
70,a3,2016-10-03 15:09:40,ZORAIDO,customer_46,2.0,product_0,servicelevel_1,15.0
71,a1,2016-07-07 16:56:04,ZOLIA,customer_62,2.0,product_0,servicelevel_1,38.0
71,a2,2016-07-08 17:05:42,ZOSIMO,customer_62,2.0,product_0,servicelevel_1,13.0
71,a3,2016-07-08 17:05:57,ZOSIMO,customer_62,2.0,product_0,servicelevel_1,12.0
72,a1,2016-08-03 09:51:18,ZOLIA,customer_48,2.0,product_0,servicelevel_1,70.0
72,a2,2016-08-03 14:21:35,ZOLFERINO,customer_48,2.0,product_0,servicelevel_1,7.0
72,a3,2016-08-03 14:41:35,ZOLFERINO,customer_48,2.0,product_0,servicelevel_1,6.0
73,a1,2016-10-31 11:23:11,ZOSIMO,customer_63,2.0,product_0,servicelevel_2,40.0
73,a2,2016-10-31 11:32:13,ZOSIMO,customer_63,2.0,product_0,servicelevel_2,41.0
73,a4,2016-10-31 15:40:38,ZOSIMO,customer_63,2.0,product_0,servicelevel_2,40.0
73,a3,2016-11-04 09:00:39,ZOSIMO,customer_63,2.0,product_0,servicelevel_2,40.0
74,a4,2016-07-04 09:59:29,ZOSIMO,customer_64,2.0,product_0,servicelevel_2,1.0
74,a3,2016-07-13 11:27:56,ZOSIMO,customer_64,2.0,product_0,servicelevel_2,14.0
75,a1,2016-12-15 11:40:18,ZOSIMO,customer_63,2.0,product_0,servicelevel_2,47.0
75,a2,2016-12-15 11:40:43,ZOSIMO,customer_63,2.0,product_0,servicelevel_2,47.0
75,a3,2016-12-20 14:06:33,ZOSIMO,customer_63,2.0,product_0,servicelevel_2,44.0
76,a1,2017-02-03 10:47:51,ZULINO,customer_65,2.0,product_0,servicelevel_2,92.0
76,a2,2017-02-03 11:59:12,ZOPITA,customer_65,2.0,product_0,servicelevel_2,16.0
76,a2,2017-02-06 11:42:57,ZOSIMO,customer_65,2.0,product_0,servicelevel_2,45.0
76,a3,2017-02-08 09:37:57,ZOSIMO,customer_65,2.0,product_0,servicelevel_2,33.0
77,a1,2016-08-29 10:27:28,ZOSIMO,customer_66,2.0,product_5,servicelevel_1,34.0
77,a2,2016-08-29 13:46:03,ZOSIMA,customer_66,2.0,product_5,servicelevel_1,5.0
77,a4,2016-08-29 14:52:45,ZOSIMA,customer_66,2.0,product_5,servicelevel_1,3.0
77,a3,2016-08-30 10:57:07,ZOSIMA,customer_66,2.0,product_5,servicelevel_1,1.0
